PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
Washington Sundar,Indian,All-Rounder,"8,75,00,000",9
Nicholas Pooran,Overseas,Wicket Keeper,"10,75,00,000",9
Bhuvneshwar Kumar,Indian,Bowler,"4,20,00,000",9
T. Natarajan,Indian,Bowler,"4,00,00,000",9
Priyam  Garg,Indian,Batsman,"20,00,000",9
Rahul Tripathi,Indian,Batsman,"8,50,00,000",9
Abhishek Sharma,Indian,All-Rounder,"6,50,00,000",9
Vishnu Vinod,Indian,Wicket Keeper,"50,00,000",9
Kartik Tyagi,Indian,Bowler,"4,00,00,000",9
Shreyas Gopal,Indian,Bowler,"75,00,000",9
Jagadeesha Suchith,Indian,Bowler,"20,00,000",9
Aiden Markram,Overseas,Batsman,"2,60,00,000",9
Marco Jansen,Overseas,All-Rounder,"4,20,00,000",9
Romario Shepherd,Overseas,All-Rounder,"7,75,00,000",9
Glenn Phillips,Overseas,Wicket Keeper,"1,50,00,000",9
Fazalhaq Farooqi,Overseas,Bowler,"50,00,000",9
Sean Abbott,Overseas,Bowler,"2,40,00,000",9
R Samarth,Indian,Batsman,"20,00,000",9
Shashank Singh,Indian,All-Rounder,"20,00,000",9
Saurabh Dubey,Indian,Bowler,"20,00,000",9
