PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
Faf Du Plessis,Overseas,Batsman,"7,00,00,000",8
Wanindu Hasaranga,Overseas,All-Rounder,"10,75,00,000",8
Harshal Patel,Indian,All-Rounder,"10,75,00,000",8
Dinesh  Karthik,Indian,Wicket Keeper,"5,50,00,000",8
Josh Hazlewood,Overseas,Bowler,"7,75,00,000",8
Shahbaz Ahamad,Indian,All-Rounder,"2,40,00,000",8
Anuj Rawat,Indian,Wicket Keeper,"3,40,00,000",8
Akash  Deep,Indian,Bowler,"20,00,000",8
Karn Sharma,Indian,Bowler,"50,00,000",8
Mahipal Lomror,Indian,All-Rounder,"95,00,000",8
Finn Allen,Overseas,Batsman,"80,00,000",8
Sherfane Rutherford,Overseas,All-Rounder,"1,00,00,000",8
Jason Behrendorff,Overseas,Bowler,"75,00,000",8
Siddharth  Kaul,Indian,Bowler,"75,00,000",8
Suyash Prabhudessai,Indian,All-Rounder,"30,00,000",8
Luvnith Sisodia,Indian,Wicket Keeper,"20,00,000",8
Chama Milind,Indian,Bowler,"25,00,000",8
Aneeshwar Gautam,Indian,All-Rounder,"20,00,000",8
David Willey,Overseas,All-Rounder,"2,00,00,000",8
