PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
David Warner,Overseas,Batsman,"6,25,00,000",1
Mitchell Marsh,Overseas,All-Rounder,"6,50,00,000",1
Mustafizur Rahman,Overseas,Bowler,"2,00,00,000",1
Shardul Thakur,Indian,Bowler,"10,75,00,000",1
Kuldeep Yadav,Indian,Bowler,"2,00,00,000",1
Ashwin Hebbar,Indian,Batsman,"20,00,000",1
Sarfaraz Khan,Indian,All-Rounder,"20,00,000",1
Kamlesh Nagarkoti,Indian,All-Rounder,"1,10,00,000",1
K.S. Bharat,Indian,Wicket Keeper,"2,00,00,000",1
Mandeep Singh,Indian,Batsman,"1,10,00,000",1
Syed Khaleel Ahmed,Indian,Bowler,"5,25,00,000",1
Lungisani Ngidi,Overseas,Bowler,"50,00,000",1
Chetan Sakariya,Indian,Bowler,"4,20,00,000",1
Yash Dhull,Indian,All-Rounder,"50,00,000",1
Vicky Ostwal,Indian,All-Rounder,"20,00,000",1
Ripal Patel,Indian,All-Rounder,"20,00,000",1
Lalit Yadav,Indian,All-Rounder,"65,00,000",1
Rovman Powell,Overseas,Batsman,"2,80,00,000",1
Tim Seifert,Overseas,Wicket Keeper,"50,00,000",1
Pravin Dubey,Indian,All-Rounder,"50,00,000",1
