PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
Pat Cummins,Overseas,All-Rounder,"7,25,00,000",3
Shreyas Iyer,Indian,Batsman,"12,25,00,000",3
Mohammad  Nabi,Overseas,All-Rounder,"1,00,00,000",3
Nitish Rana,Indian,All-Rounder,"8,00,00,000",3
Sam Billings,Overseas,Wicket Keeper,"2,00,00,000",3
Umesh Yadav,Indian,Bowler,"2,00,00,000",3
Shivam  Mavi,Indian,All-Rounder,"7,25,00,000",3
Sheldon Jackson,Indian,Wicket Keeper,"60,00,000",3
Ajinkya Rahane,Indian,Batsman,"1,00,00,000",3
Rinku Singh,Indian,Batsman,"55,00,000",3
Anukul Roy,Indian,All-Rounder,"20,00,000",3
Alex Hales,Overseas,Batsman,"1,50,00,000",3
Rasikh Dar,Indian,Bowler,"20,00,000",3
Tim Southee,Overseas,Bowler,"1,50,00,000",3
Baba Indrajith,Indian,Wicket Keeper,"20,00,000",3
Chamika Karunaratne,Overseas,All-Rounder,"50,00,000",3
Abhijeet Tomar,Indian,Batsman,"40,00,000",3
Aman Khan,Indian,All-Rounder,"20,00,000",3
Ramesh Kumar,Indian,Batsman,"20,00,000",3
Pratham Singh,Indian,Batsman,"20,00,000",3
Ashok Sharma,Indian,Bowler,"55,00,000",3
