PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
Robin Uthappa,Indian,Batsman,"2,00,00,000",0
Dwayne Bravo,Overseas,All-Rounder,"4,40,00,000",0
Ambati Rayudu,Indian,Wicket Keeper,"6,75,00,000",0
Deepak Chahar,Indian,Bowler,"14,00,00,000",0
C.Hari Nishaanth,Indian,Batsman,"20,00,000",0
N. Jagadeesan,Indian,Wicket Keeper,"20,00,000",0
K.M. Asif,Indian,Bowler,"20,00,000",0
Tushar Deshpande,Indian,Bowler,"20,00,000",0
Shivam Dube,Indian,All-Rounder,"4,00,00,000",0
Chris Jordan,Overseas,All-Rounder,"3,60,00,000",0
Maheesh Theekshana,Overseas,Bowler,"70,00,000",0
Rajvardhan Hangargekar,Indian,All-Rounder,"1,50,00,000",0
Simarjeet Singh,Indian,Bowler,"20,00,000",0
Devon Conway,Overseas,Batsman,"1,00,00,000",0
Dwaine Pretorius,Overseas,All-Rounder,"50,00,000",0
Mitchell Santner,Overseas,All-Rounder,"1,90,00,000",0
Adam Milne,Overseas,Bowler,"1,90,00,000",0
Subhranshu Senapati,Indian,Batsman,"20,00,000",0
Mukesh Choudhary,Indian,Bowler,"20,00,000",0
Prashant Solanki,Indian,Bowler,"1,20,00,000",0
K.Bhagath Varma,Indian,All-Rounder,"20,00,000",0
