PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
Quinton De Kock,Overseas,Wicket Keeper,"6,75,00,000",4
Manish Pandey,Indian,Batsman,"4,60,00,000",4
Krunal Pandya,Indian,All-Rounder,"8,25,00,000",4
Mark Wood,Overseas,Bowler,"7,50,00,000",4
Avesh Khan,Indian,Bowler,"10,00,00,000",4
Ankit Singh Rajpoot,Indian,Bowler,"50,00,000",4
K. Gowtham,Indian,All-Rounder,"90,00,000",4
Dushmanta Chameera,Overseas,Bowler,"2,00,00,000",4
Shahbaz Nadeem,Indian,Bowler,"50,00,000",4
Manan Vohra,Indian,Batsman,"20,00,000",4
Evin Lewis,Overseas,Batsman,"2,00,00,000",4
Mohsin Khan,Indian,Bowler,"20,00,000",4
Mayank Yadav,Indian,Bowler,"20,00,000",4
Ayush Badoni,Indian,All-Rounder,"20,00,000",4
Kyle Mayers,Overseas,All-Rounder,"50,00,000",4
Karan Sharma,Indian,All-Rounder,"20,00,000",4
Jason Holder,Overseas,All-Rounder,"8,75,00,000",4
Deepak Hooda,Indian,All-Rounder,"5,75,00,000",4
