PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
Ishan Kishan,Indian,Wicket Keeper,"15,25,00,000",5
Dewald Brevis,Overseas,Batsman,"3,00,00,000",5
Anmolpreet Singh,Indian,Batsman,"20,00,000",5
Basil Thampi,Indian,Bowler,"30,00,000",5
Murugan Ashwin,Indian,Bowler,"1,60,00,000",5
Jaydev Unadkat,Indian,Bowler,"1,30,00,000",5
Mayank Markande,Indian,Bowler,"65,00,000",5
N. Tilak Varma,Indian,All-Rounder,"1,70,00,000",5
Sanjay Yadav,Indian,All-Rounder,"50,00,000",5
Jofra Archer,Overseas,All-Rounder,"8,00,00,000",5
Daniel Sams,Overseas,All-Rounder,"2,60,00,000",5
Tymal Mills,Overseas,Bowler,"1,50,00,000",5
Tim David,Overseas,All-Rounder,"8,25,00,000",5
Ramandeep  Singh,Indian,All-Rounder,"20,00,000",5
Aryan Juyal,Indian,Wicket Keeper,"20,00,000",5
Fabian Allen,Overseas,All-Rounder,"75,00,000",5
Riley Meredith,Overseas,Bowler,"1,00,00,000",5
Rahul Buddhi,Indian,Batsman,"20,00,000",5
Hrithik Shokeen,Indian,All-Rounder,"20,00,000",5
Mohd. Arshad Khan,Indian,All-Rounder,"20,00,000",5
Arjun  Tendulkar,Indian,All-Rounder,"30,00,000",5
