PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
R. Ashwin,Indian,All-Rounder,"5,00,00,000",7
Trent Boult,Overseas,Bowler,"8,00,00,000",7
Shimron Hetmyer,Overseas,Batsman,"8,50,00,000",7
Devdutt Padikkal,Indian,Batsman,"7,75,00,000",7
Prasidh Krishna,Indian,Bowler,"10,00,00,000",7
Yuzvendra Chahal,Indian,Bowler,"6,50,00,000",7
Riyan Parag,Indian,All-Rounder,"3,80,00,000",7
K.C Cariappa,Indian,Bowler,"30,00,000",7
James Neesham,Overseas,All-Rounder,"1,50,00,000",7
Nathan Coulter-Nile,Overseas,Bowler,"2,00,00,000",7
Navdeep Saini,Indian,Bowler,"2,60,00,000",7
Kuldeep  Sen,Indian,Bowler,"20,00,000",7
Karun Nair,Indian,Batsman,"1,40,00,000",7
Rassie Van Der Dussen,Overseas,Batsman,"1,00,00,000",7
Daryl Mitchell,Overseas,All-Rounder,"75,00,000",7
Obed Mccoy,Overseas,Bowler,"75,00,000",7
Dhruv Jurel,Indian,Wicket Keeper,"20,00,000",7
Tejas Baroka,Indian,Bowler,"20,00,000",7
Kuldip Yadav,Indian,Bowler,"20,00,000",7
Shubham Garhwal,Indian,All-Rounder,"20,00,000",7
Anunay Singh,Indian,All-Rounder,"20,00,000",7
