PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
Shikhar Dhawan,Indian,Batsman,"8,25,00,000",6
Kagiso Rabada,Overseas,Bowler,"9,25,00,000",6
Jonny Bairstow,Overseas,Wicket Keeper,"6,75,00,000",6
Rahul Chahar,Indian,Bowler,"5,25,00,000",6
Harpreet  Brar,Indian,All-Rounder,"3,80,00,000",6
Shahrukh Khan,Indian,All-Rounder,"9,00,00,000",6
Jitesh Sharma,Indian,Wicket Keeper,"20,00,000",6
Prabhsimran Singh,Indian,Wicket Keeper,"60,00,000",6
Ishan Porel,Indian,Bowler,"25,00,000",6
Liam Livingstone,Overseas,All-Rounder,"11,50,00,000",6
Odean Smith,Overseas,All-Rounder,"6,00,00,000",6
Sandeep Sharma,Indian,Bowler,"50,00,000",6
Raj Angad Bawa,Indian,All-Rounder,"2,00,00,000",6
Rishi Dhawan,Indian,All-Rounder,"55,00,000",6
Nathan Ellis,Overseas,Bowler,"75,00,000",6
Prerak Mankad,Indian,All-Rounder,"20,00,000",6
Atharva Taide,Indian,All-Rounder,"20,00,000",6
Vaibhav Arora,Indian,Bowler,"2,00,00,000",6
Bhanuka Rajapaksa,Overseas,Batsman,"50,00,000",6
Benny Howell,Overseas,All-Rounder,"40,00,000",6
Writtick Chatterjee,Indian,All-Rounder,"20,00,000",6
Baltej Dhanda,Indian,Bowler,"20,00,000",6
Ansh Patel,Indian,All-Rounder,"20,00,000",6
