PLAYER,TYPE,PRICE PAID,Team,Year
Sam Curran,All-Rounder,"18,50,00,000",Punjab Kings,2023
Sikandar Raza,All-Rounder,"50,00,000",Punjab Kings,2023
Jason Holder,All-Rounder,"5,75,00,000",Rajasthan Royals,2023
Adam Zampa,Bowler,"1,50,00,000",Rajasthan Royals,2023
Abdul P A,All-Rounder,"20,00,000",Rajasthan Royals,2023
Akash Vashisht,All-Rounder,"20,00,000",Rajasthan Royals,2023
Donovan Ferreira,Wicket-Keeper,"50,00,000",Rajasthan Royals,2023
Kunal Rathore,Wicket-Keeper,"20,00,000",Rajasthan Royals,2023
Joe Root,Batter,"1,00,00,000",Rajasthan Royals,2023
Murugan Ashwin,Bowler,"20,00,000",Rajasthan Royals,2023
K.M. Asif,Bowler,"30,00,000",Rajasthan Royals,2023
Sonu Yadav,All-Rounder,"20,00,000",Royal Challengers Bangalore,2023
Himanshu Sharma,Bowler,"20,00,000",Royal Challengers Bangalore,2023
Avinash Singh,Bowler,"60,00,000",Royal Challengers Bangalore,2023
Manoj Bhandage,All-Rounder,"20,00,000",Royal Challengers Bangalore,2023
Will Jacks,Batter,"3,20,00,000",Royal Challengers Bangalore,2023
Reece Topley,Bowler,"1,90,00,000",Royal Challengers Bangalore,2023
Rajan Kumar,Bowler,"70,00,000",Royal Challengers Bangalore,2023
