PLAYER,TYPE,PRICE PAID,Team,Year
Robin Uthappa,Batsman,"2,00,00,000",Chennai Super Kings,2022
Dwayne Bravo,All-Rounder,"4,40,00,000",Chennai Super Kings,2022
Ambati Rayudu,Wicket Keeper,"6,75,00,000",Chennai Super Kings,2022
Deepak Chahar,Bowler,"14,00,00,000",Chennai Super Kings,2022
C.Hari Nishaanth,Batsman,"20,00,000",Chennai Super Kings,2022
N. Jagadeesan,Wicket Keeper,"20,00,000",Chennai Super Kings,2022
K.M. Asif,Bowler,"20,00,000",Chennai Super Kings,2022
Tushar Deshpande,Bowler,"20,00,000",Chennai Super Kings,2022
Shivam Dube,All-Rounder,"4,00,00,000",Chennai Super Kings,2022
Chris Jordan,All-Rounder,"3,60,00,000",Chennai Super Kings,2022
Maheesh Theekshana,Bowler,"70,00,000",Chennai Super Kings,2022
Rajvardhan Hangargekar,All-Rounder,"1,50,00,000",Chennai Super Kings,2022
Simarjeet Singh,Bowler,"20,00,000",Chennai Super Kings,2022
Devon Conway,Batsman,"1,00,00,000",Chennai Super Kings,2022
Dwaine Pretorius,All-Rounder,"50,00,000",Chennai Super Kings,2022
Mitchell Santner,All-Rounder,"1,90,00,000",Chennai Super Kings,2022
Adam Milne,Bowler,"1,90,00,000",Chennai Super Kings,2022
Subhranshu Senapati,Batsman,"20,00,000",Chennai Super Kings,2022
Mukesh Choudhary,Bowler,"20,00,000",Chennai Super Kings,2022
Prashant Solanki,Bowler,"1,20,00,000",Chennai Super Kings,2022
K.Bhagath Varma,All-Rounder,"20,00,000",Chennai Super Kings,2022
Washington Sundar,All-Rounder,"8,75,00,000",Sunrisers Hyderabad,2022
Nicholas Pooran,Wicket Keeper,"10,75,00,000",Sunrisers Hyderabad,2022
Bhuvneshwar Kumar,Bowler,"4,20,00,000",Sunrisers Hyderabad,2022
T. Natarajan,Bowler,"4,00,00,000",Sunrisers Hyderabad,2022
Priyam  Garg,Batsman,"20,00,000",Sunrisers Hyderabad,2022
Rahul Tripathi,Batsman,"8,50,00,000",Sunrisers Hyderabad,2022
Abhishek Sharma,All-Rounder,"6,50,00,000",Sunrisers Hyderabad,2022
Vishnu Vinod,Wicket Keeper,"50,00,000",Sunrisers Hyderabad,2022
Kartik Tyagi,Bowler,"4,00,00,000",Sunrisers Hyderabad,2022
Shreyas Gopal,Bowler,"75,00,000",Sunrisers Hyderabad,2022
Jagadeesha Suchith,Bowler,"20,00,000",Sunrisers Hyderabad,2022
Aiden Markram,Batsman,"2,60,00,000",Sunrisers Hyderabad,2022
Marco Jansen,All-Rounder,"4,20,00,000",Sunrisers Hyderabad,2022
Romario Shepherd,All-Rounder,"7,75,00,000",Sunrisers Hyderabad,2022
Glenn Phillips,Wicket Keeper,"1,50,00,000",Sunrisers Hyderabad,2022
Fazalhaq Farooqi,Bowler,"50,00,000",Sunrisers Hyderabad,2022
Sean Abbott,Bowler,"2,40,00,000",Sunrisers Hyderabad,2022
R Samarth,Batsman,"20,00,000",Sunrisers Hyderabad,2022
Shashank Singh,All-Rounder,"20,00,000",Sunrisers Hyderabad,2022
Saurabh Dubey,Bowler,"20,00,000",Sunrisers Hyderabad,2022
David Warner,Batsman,"6,25,00,000",Delhi Daredevils,2022
Mitchell Marsh,All-Rounder,"6,50,00,000",Delhi Daredevils,2022
Mustafizur Rahman,Bowler,"2,00,00,000",Delhi Daredevils,2022
Shardul Thakur,Bowler,"10,75,00,000",Delhi Daredevils,2022
Kuldeep Yadav,Bowler,"2,00,00,000",Delhi Daredevils,2022
Ashwin Hebbar,Batsman,"20,00,000",Delhi Daredevils,2022
Sarfaraz Khan,All-Rounder,"20,00,000",Delhi Daredevils,2022
Kamlesh Nagarkoti,All-Rounder,"1,10,00,000",Delhi Daredevils,2022
K.S. Bharat,Wicket Keeper,"2,00,00,000",Delhi Daredevils,2022
Mandeep Singh,Batsman,"1,10,00,000",Delhi Daredevils,2022
Syed Khaleel Ahmed,Bowler,"5,25,00,000",Delhi Daredevils,2022
Lungisani Ngidi,Bowler,"50,00,000",Delhi Daredevils,2022
Chetan Sakariya,Bowler,"4,20,00,000",Delhi Daredevils,2022
Yash Dhull,All-Rounder,"50,00,000",Delhi Daredevils,2022
Vicky Ostwal,All-Rounder,"20,00,000",Delhi Daredevils,2022
Ripal Patel,All-Rounder,"20,00,000",Delhi Daredevils,2022
Lalit Yadav,All-Rounder,"65,00,000",Delhi Daredevils,2022
Rovman Powell,Batsman,"2,80,00,000",Delhi Daredevils,2022
Tim Seifert,Wicket Keeper,"50,00,000",Delhi Daredevils,2022
Pravin Dubey,All-Rounder,"50,00,000",Delhi Daredevils,2022
Mohammad Shami,Bowler,"6,25,00,000",Gujarat Titans,2022
David Miller,Batsman,"3,00,00,000",Gujarat Titans,2022
Jason Roy,Batsman,"2,00,00,000",Gujarat Titans,2022
Wriddhiman  Saha,Wicket Keeper,"1,90,00,000",Gujarat Titans,2022
Matthew Wade,Wicket Keeper,"2,40,00,000",Gujarat Titans,2022
Lockie Ferguson,Bowler,"10,00,00,000",Gujarat Titans,2022
Abhinav Sadarangani,Batsman,"2,60,00,000",Gujarat Titans,2022
Rahul Tewatia,All-Rounder,"9,00,00,000",Gujarat Titans,2022
Noor  Ahmad,Bowler,"30,00,000",Gujarat Titans,2022
R. Sai Kishore,Bowler,"3,00,00,000",Gujarat Titans,2022
Dominic Drakes,All-Rounder,"1,10,00,000",Gujarat Titans,2022
Vijay Shankar,All-Rounder,"1,40,00,000",Gujarat Titans,2022
Jayant Yadav,All-Rounder,"1,70,00,000",Gujarat Titans,2022
Darshan Nalkande,All-Rounder,"20,00,000",Gujarat Titans,2022
Yash  Dayal,Bowler,"3,20,00,000",Gujarat Titans,2022
B. Sai Sudharsan,All-Rounder,"20,00,000",Gujarat Titans,2022
Gurkeerat Singh,All-Rounder,"50,00,000",Gujarat Titans,2022
Alzarri Joseph,Bowler,"2,40,00,000",Gujarat Titans,2022
Varun Aaron,Bowler,"50,00,000",Gujarat Titans,2022
Pradeep Sangwan,All-Rounder,"20,00,000",Gujarat Titans,2022
Pat Cummins,All-Rounder,"7,25,00,000",Kolkata Knight Riders,2022
Shreyas Iyer,Batsman,"12,25,00,000",Kolkata Knight Riders,2022
Mohammad  Nabi,All-Rounder,"1,00,00,000",Kolkata Knight Riders,2022
Nitish Rana,All-Rounder,"8,00,00,000",Kolkata Knight Riders,2022
Sam Billings,Wicket Keeper,"2,00,00,000",Kolkata Knight Riders,2022
Umesh Yadav,Bowler,"2,00,00,000",Kolkata Knight Riders,2022
Shivam  Mavi,All-Rounder,"7,25,00,000",Kolkata Knight Riders,2022
Sheldon Jackson,Wicket Keeper,"60,00,000",Kolkata Knight Riders,2022
Ajinkya Rahane,Batsman,"1,00,00,000",Kolkata Knight Riders,2022
Rinku Singh,Batsman,"55,00,000",Kolkata Knight Riders,2022
Anukul Roy,All-Rounder,"20,00,000",Kolkata Knight Riders,2022
Alex Hales,Batsman,"1,50,00,000",Kolkata Knight Riders,2022
Rasikh Dar,Bowler,"20,00,000",Kolkata Knight Riders,2022
Tim Southee,Bowler,"1,50,00,000",Kolkata Knight Riders,2022
Baba Indrajith,Wicket Keeper,"20,00,000",Kolkata Knight Riders,2022
Chamika Karunaratne,All-Rounder,"50,00,000",Kolkata Knight Riders,2022
Abhijeet Tomar,Batsman,"40,00,000",Kolkata Knight Riders,2022
Aman Khan,All-Rounder,"20,00,000",Kolkata Knight Riders,2022
Ramesh Kumar,Batsman,"20,00,000",Kolkata Knight Riders,2022
Pratham Singh,Batsman,"20,00,000",Kolkata Knight Riders,2022
Ashok Sharma,Bowler,"55,00,000",Kolkata Knight Riders,2022
Quinton De Kock,Wicket Keeper,"6,75,00,000",Lucknow Super Giants,2022
Manish Pandey,Batsman,"4,60,00,000",Lucknow Super Giants,2022
