PLAYER,TYPE,PRICE PAID,Team,Year
Krunal Pandya,All-Rounder,"8,25,00,000",Lucknow Super Giants,2022
Mark Wood,Bowler,"7,50,00,000",Lucknow Super Giants,2022
Avesh Khan,Bowler,"10,00,00,000",Lucknow Super Giants,2022
Ankit Singh Rajpoot,Bowler,"50,00,000",Lucknow Super Giants,2022
K. Gowtham,All-Rounder,"90,00,000",Lucknow Super Giants,2022
Dushmanta Chameera,Bowler,"2,00,00,000",Lucknow Super Giants,2022
Shahbaz Nadeem,Bowler,"50,00,000",Lucknow Super Giants,2022
Manan Vohra,Batsman,"20,00,000",Lucknow Super Giants,2022
Evin Lewis,Batsman,"2,00,00,000",Lucknow Super Giants,2022
Mohsin Khan,Bowler,"20,00,000",Lucknow Super Giants,2022
Mayank Yadav,Bowler,"20,00,000",Lucknow Super Giants,2022
Ayush Badoni,All-Rounder,"20,00,000",Lucknow Super Giants,2022
Kyle Mayers,All-Rounder,"50,00,000",Lucknow Super Giants,2022
Karan Sharma,All-Rounder,"20,00,000",Lucknow Super Giants,2022
Jason Holder,All-Rounder,"8,75,00,000",Lucknow Super Giants,2022
Deepak Hooda,All-Rounder,"5,75,00,000",Lucknow Super Giants,2022
Ishan Kishan,Wicket Keeper,"15,25,00,000",Mumbai Indians,2022
Dewald Brevis,Batsman,"3,00,00,000",Mumbai Indians,2022
Anmolpreet Singh,Batsman,"20,00,000",Mumbai Indians,2022
Basil Thampi,Bowler,"30,00,000",Mumbai Indians,2022
Murugan Ashwin,Bowler,"1,60,00,000",Mumbai Indians,2022
Jaydev Unadkat,Bowler,"1,30,00,000",Mumbai Indians,2022
Mayank Markande,Bowler,"65,00,000",Mumbai Indians,2022
N. Tilak Varma,All-Rounder,"1,70,00,000",Mumbai Indians,2022
Sanjay Yadav,All-Rounder,"50,00,000",Mumbai Indians,2022
Jofra Archer,All-Rounder,"8,00,00,000",Mumbai Indians,2022
Daniel Sams,All-Rounder,"2,60,00,000",Mumbai Indians,2022
Tymal Mills,Bowler,"1,50,00,000",Mumbai Indians,2022
Tim David,All-Rounder,"8,25,00,000",Mumbai Indians,2022
Ramandeep  Singh,All-Rounder,"20,00,000",Mumbai Indians,2022
Aryan Juyal,Wicket Keeper,"20,00,000",Mumbai Indians,2022
Fabian Allen,All-Rounder,"75,00,000",Mumbai Indians,2022
Riley Meredith,Bowler,"1,00,00,000",Mumbai Indians,2022
Rahul Buddhi,Batsman,"20,00,000",Mumbai Indians,2022
Hrithik Shokeen,All-Rounder,"20,00,000",Mumbai Indians,2022
Mohd. Arshad Khan,All-Rounder,"20,00,000",Mumbai Indians,2022
Arjun  Tendulkar,All-Rounder,"30,00,000",Mumbai Indians,2022
Shikhar Dhawan,Batsman,"8,25,00,000",Punjab Kings,2022
Kagiso Rabada,Bowler,"9,25,00,000",Punjab Kings,2022
Jonny Bairstow,Wicket Keeper,"6,75,00,000",Punjab Kings,2022
Rahul Chahar,Bowler,"5,25,00,000",Punjab Kings,2022
Harpreet  Brar,All-Rounder,"3,80,00,000",Punjab Kings,2022
Shahrukh Khan,All-Rounder,"9,00,00,000",Punjab Kings,2022
Jitesh Sharma,Wicket Keeper,"20,00,000",Punjab Kings,2022
Prabhsimran Singh,Wicket Keeper,"60,00,000",Punjab Kings,2022
Ishan Porel,Bowler,"25,00,000",Punjab Kings,2022
Liam Livingstone,All-Rounder,"11,50,00,000",Punjab Kings,2022
Odean Smith,All-Rounder,"6,00,00,000",Punjab Kings,2022
Sandeep Sharma,Bowler,"50,00,000",Punjab Kings,2022
Raj Angad Bawa,All-Rounder,"2,00,00,000",Punjab Kings,2022
Rishi Dhawan,All-Rounder,"55,00,000",Punjab Kings,2022
Nathan Ellis,Bowler,"75,00,000",Punjab Kings,2022
Prerak Mankad,All-Rounder,"20,00,000",Punjab Kings,2022
Atharva Taide,All-Rounder,"20,00,000",Punjab Kings,2022
Vaibhav Arora,Bowler,"2,00,00,000",Punjab Kings,2022
Bhanuka Rajapaksa,Batsman,"50,00,000",Punjab Kings,2022
Benny Howell,All-Rounder,"40,00,000",Punjab Kings,2022
Writtick Chatterjee,All-Rounder,"20,00,000",Punjab Kings,2022
Baltej Dhanda,Bowler,"20,00,000",Punjab Kings,2022
Ansh Patel,All-Rounder,"20,00,000",Punjab Kings,2022
R. Ashwin,All-Rounder,"5,00,00,000",Rajasthan Royals,2022
Trent Boult,Bowler,"8,00,00,000",Rajasthan Royals,2022
Shimron Hetmyer,Batsman,"8,50,00,000",Rajasthan Royals,2022
Devdutt Padikkal,Batsman,"7,75,00,000",Rajasthan Royals,2022
Prasidh Krishna,Bowler,"10,00,00,000",Rajasthan Royals,2022
Yuzvendra Chahal,Bowler,"6,50,00,000",Rajasthan Royals,2022
Riyan Parag,All-Rounder,"3,80,00,000",Rajasthan Royals,2022
K.C Cariappa,Bowler,"30,00,000",Rajasthan Royals,2022
James Neesham,All-Rounder,"1,50,00,000",Rajasthan Royals,2022
Nathan Coulter-Nile,Bowler,"2,00,00,000",Rajasthan Royals,2022
Navdeep Saini,Bowler,"2,60,00,000",Rajasthan Royals,2022
Kuldeep  Sen,Bowler,"20,00,000",Rajasthan Royals,2022
Karun Nair,Batsman,"1,40,00,000",Rajasthan Royals,2022
Rassie Van Der Dussen,Batsman,"1,00,00,000",Rajasthan Royals,2022
Daryl Mitchell,All-Rounder,"75,00,000",Rajasthan Royals,2022
Obed Mccoy,Bowler,"75,00,000",Rajasthan Royals,2022
Dhruv Jurel,Wicket Keeper,"20,00,000",Rajasthan Royals,2022
Tejas Baroka,Bowler,"20,00,000",Rajasthan Royals,2022
Kuldip Yadav,Bowler,"20,00,000",Rajasthan Royals,2022
Shubham Garhwal,All-Rounder,"20,00,000",Rajasthan Royals,2022
Anunay Singh,All-Rounder,"20,00,000",Rajasthan Royals,2022
Faf Du Plessis,Batsman,"7,00,00,000",Royal Challengers Bangalore,2022
Wanindu Hasaranga,All-Rounder,"10,75,00,000",Royal Challengers Bangalore,2022
Harshal Patel,All-Rounder,"10,75,00,000",Royal Challengers Bangalore,2022
Dinesh  Karthik,Wicket Keeper,"5,50,00,000",Royal Challengers Bangalore,2022
Josh Hazlewood,Bowler,"7,75,00,000",Royal Challengers Bangalore,2022
Shahbaz Ahamad,All-Rounder,"2,40,00,000",Royal Challengers Bangalore,2022
Anuj Rawat,Wicket Keeper,"3,40,00,000",Royal Challengers Bangalore,2022
Akash  Deep,Bowler,"20,00,000",Royal Challengers Bangalore,2022
Karn Sharma,Bowler,"50,00,000",Royal Challengers Bangalore,2022
Mahipal Lomror,All-Rounder,"95,00,000",Royal Challengers Bangalore,2022
Finn Allen,Batsman,"80,00,000",Royal Challengers Bangalore,2022
Sherfane Rutherford,All-Rounder,"1,00,00,000",Royal Challengers Bangalore,2022
Jason Behrendorff,Bowler,"75,00,000",Royal Challengers Bangalore,2022
Siddharth  Kaul,Bowler,"75,00,000",Royal Challengers Bangalore,2022
Suyash Prabhudessai,All-Rounder,"30,00,000",Royal Challengers Bangalore,2022
Luvnith Sisodia,Wicket Keeper,"20,00,000",Royal Challengers Bangalore,2022
Chama Milind,Bowler,"25,00,000",Royal Challengers Bangalore,2022
Aneeshwar Gautam,All-Rounder,"20,00,000",Royal Challengers Bangalore,2022
David Willey,All-Rounder,"2,00,00,000",Royal Challengers Bangalore,2022
