PLAYER,TYPE,PRICE PAID,Team
Yuvraj Singh,Batsman,"16,00,00,000",1
Angelo Mathews,All-Rounder,"7,50,00,000",1
Zaheer Khan,Bowler,"4,00,00,000",1
Amit Mishra,Bowler,"3,50,00,000",1
Shreyas Iyer,Batsman,"2,60,00,000",1
Gurinder Sandhu,Bowler,"1,70,00,000",1
Jaydev Unadkat,Bowler,"1,10,00,000",1
Domnic Joseph Muthuswamy,Bowler,"75,00,000",1
Albie Morkel,All-Rounder,"30,00,000",1
Travis Head,Batsman,"30,00,000",1
Marcus Stoinis,All-Rounder,"25,00,000",1
C.M. Gautam,Wicket Keeper,"20,00,000",1
Kona Srikar Bharat,Wicket Keeper,"10,00,000",1
K.K. Jiyaz,Bowler,"10,00,000",1
