PLAYER,TYPE,PRICE PAID,Team
Praveen Kumar,Bowler,"3,50,00,000",1
Dale Steyn,Bowler,"2,30,00,000",1
Dinesh Karthik,Wicket Keeper,"2,30,00,000",1
Dwayne Smith,All-Rounder,"2,30,00,000",1
Dhawal Kulkarni,Bowler,"2,00,00,000",1
Aaron Finch,Batsman,"1,00,00,000",1
Eklavya Dwivedi,Wicket Keeper,"1,00,00,000",1
Andrew Tye,All-Rounder,"50,00,000",1
Ishan Kishan,Wicket Keeper,"35,00,000",1
Jaydev Shah,All-Rounder,"20,00,000",1
Shadab Jakati,All-Rounder,"20,00,000",1
Pravin Tambe,Bowler,"20,00,000",1
Pradeep Sangwan,All-Rounder,"20,00,000",1
Amit Mishra,Bowler,"10,00,000",1
Shivil Kaushik,Bowler,"10,00,000",1
Akshdeep Nath,All-Rounder,"10,00,000",1
Sarabjit Ladda,Bowler,"10,00,000",1
Umang Sharma,Batsman,"10,00,000",1
Paras Dogra,Batsman,"10,00,000",1
