PLAYER,TYPE,PRICE PAID,Team
Pawan Negi,All-Rounder,"8,50,00,000",0
Christopher Morris,All-Rounder,"7,00,00,000",0
Sanju Samson,Wicket Keeper,"4,20,00,000",0
Carlos Brathwaite,All-Rounder,"4,20,00,000",0
Karun Nair,Batsman,"4,00,00,000",0
Rishabh Pant,Wicket Keeper,"1,90,00,000",0
Joel Paris,Bowler,"30,00,000",0
Sam Billings,Wicket Keeper,"30,00,000",0
Chama Milind,Bowler,"10,00,000",0
Pratyush Singh,All-Rounder,"10,00,000",0
Mahipal Lomror,All-Rounder,"10,00,000",0
Syed Khaleel Ahmed,All-Rounder,"10,00,000",0
Akhil Arvind Herwadkar,All-Rounder,"10,00,000",0
Pawan Suyal,Bowler,"10,00,000",0
