PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
Ashton Turner,Overseas,Batter,"1,00,00,000",4
David Willey,Overseas,All-Rounder,"2,00,00,000",4
M. Siddharth,Indian,Bowler,"2,40,00,000",4
Shivam  Mavi,Indian,Bowler,"6,40,00,000",4
Arshin Kulkarni,Indian,All-Rounder,"20,00,000",4
Mohd. Arshad Khan,Indian,All-Rounder,"20,00,000",4
