PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
Mujeeb Rahman,Overseas,Bowler,"2,00,00,000",3
Manish Pandey,Indian,Batter,"50,00,000",3
Gus Atkinson,Overseas,Bowler,"1,00,00,000",3
Angkrish Raghuvanshi,Indian,Batter,"20,00,000",3
Mitchell  Starc,Overseas,Bowler,"24,75,00,000",3
Sherfane Rutherford,Overseas,Batter,"1,50,00,000",3
Ramandeep  Singh,Indian,All-Rounder,"20,00,000",3
K.S. Bharat,Indian,Wicket-Keeper,"50,00,000",3
Chetan Sakariya,Indian,Bowler,"50,00,000",3
Sakib Hussain,Indian,Bowler,"20,00,000",3
