PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
Avanish Rao Aravelly,Indian,Wicket-Keeper,"20,00,000",0
Mustafizur Rahman,Overseas,Bowler,"2,00,00,000",0
Daryl Mitchell,Overseas,All-Rounder,"14,00,00,000",0
Sameer Rizvi,Indian,Batter,"8,40,00,000",0
Rachin Ravindra,Overseas,All-Rounder,"1,80,00,000",0
Shardul Thakur,Indian,All-Rounder,"4,00,00,000",0
