PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
Jhathavedh Subramanyan,Indian,Bowler,"20,00,000",9
Akash Singh,Indian,Bowler,"20,00,000",9
Jaydev Unadkat,Indian,Bowler,"1,60,00,000",9
Wanindu Hasaranga,Overseas,All-Rounder,"1,50,00,000",9
Pat Cummins,Overseas,All-Rounder,"20,50,00,000",9
Travis Head,Overseas,Batter,"6,80,00,000",9
