PLAYER,TYPE,PRICE PAID,Team
KL Rahul,Batsman,"11,00,00,000",2
Ravichandran Ashwin,All-Rounder,"7,60,00,000",2
Andrew Tye,Bowler,"7,20,00,000",2
Aaron Finch,Batsman,"6,20,00,000",2
Marcus Stoinis,All-Rounder,"6,20,00,000",2
Karun Nair,Batsman,"5,60,00,000",2
Mujeeb Zadran,Bowler,"4,00,00,000",2
Ankit Singh Rajpoot,Bowler,"3,00,00,000",2
David Miller,Batsman,"3,00,00,000",2
Mohit Sharma,Bowler,"2,40,00,000",2
Barinder Singh Sran,Bowler,"2,20,00,000",2
Yuvraj Singh,All-Rounder,"2,00,00,000",2
Christopher Gayle,Batsman,"2,00,00,000",2
Ben Dwarshuis,Bowler,"1,40,00,000",2
Akshdeep Nath,All-Rounder,"1,00,00,000",2
Manoj Tiwary,Batsman,"1,00,00,000",2
Mayank Agarwal,Batsman,"1,00,00,000",2
Manzoor Dar,All-Rounder,"20,00,000",2
Pardeep Sahu,Bowler,"20,00,000",2
Mayank Dagar,All-Rounder,"20,00,000",2
