PLAYER,TYPE,PRICE PAID,Team
Chris Woakes,All-Rounder,"7,40,00,000",6
Yuzvendra Singh Chahal,Bowler,"6,00,00,000",6
Umesh Yadav,Bowler,"4,20,00,000",6
Brendon McCullum,Batsman,"3,60,00,000",6
M.S. Washington Sundar,All-Rounder,"3,20,00,000",6
Navdeep Saini,Bowler,"3,00,00,000",6
Quinton De Kock,Wicket Keeper,"2,80,00,000",6
Mohammed Siraj,Bowler,"2,60,00,000",6
Nathan Coulter-Nile,Bowler,"2,20,00,000",6
Colin De Grandhomme,All-Rounder,"2,20,00,000",6
M. Ashwin,Bowler,"2,20,00,000",6
Parthiv Patel,Wicket Keeper,"1,70,00,000",6
Moeen Ali,All-Rounder,"1,70,00,000",6
Mandeep Singh,All-Rounder,"1,40,00,000",6
Manan Vohra,Batsman,"1,10,00,000",6
Pawan Negi,All-Rounder,"1,00,00,000",6
Tim Southee,Bowler,"1,00,00,000",6
Kulwant Khejroliya,Bowler,"85,00,000",6
Aniket Choudhary,Bowler,"30,00,000",6
Pavan Deshpande,All-Rounder,"20,00,000",6
Anirudha Ashok Joshi,All-Rounder,"20,00,000",6
