PLAYER,TYPE,PRICE PAID,Team
Manish Pandey,Batsman,"11,00,00,000",7
Rashid Khan Arman,Bowler,"9,00,00,000",7
Shikhar Dhawan,Batsman,"5,20,00,000",7
Wriddhiman Saha,Wicket Keeper,"5,00,00,000",7
Siddarth Kaul,Bowler,"3,80,00,000",7
Deepak Hooda,All-Rounder,"3,60,00,000",7
Syed Khaleel Ahmed,Bowler,"3,00,00,000",7
Sandeep Sharma,Bowler,"3,00,00,000",7
Kane Williamson,Batsman,"3,00,00,000",7
Carlos Brathwaite,All-Rounder,"2,00,00,000",7
Shakib Al Hasan,All-Rounder,"2,00,00,000",7
Yusuf Pathan,All-Rounder,"1,90,00,000",7
Shreevats Goswami,Wicket Keeper,"1,00,00,000",7
Mohammad Nabi,All-Rounder,"1,00,00,000",7
Chris Jordan,All-Rounder,"1,00,00,000",7
Basil Thampi,Bowler,"95,00,000",7
Billy Stanlake,Batsman,"50,00,000",7
T Natarajan,Bowler,"40,00,000",7
Sachin Baby,Batsman,"20,00,000",7
Bipul Sharma,All-Rounder,"20,00,000",7
Syed Mehdi Hasan,All-Rounder,"20,00,000",7
Ricky Bhui,Batsman,"20,00,000",7
Tanmay Agarwal,Batsman,"20,00,000",7
