PLAYER,TYPE,PRICE PAID,Team
Chris Lynn,Batsman,"9,60,00,000",3
Mitchell Starc,Bowler,"9,40,00,000",3
Dinesh Karthik,Wicket Keeper,"7,40,00,000",3
Robin Uthappa,Wicket Keeper,"6,40,00,000",3
Kuldeep Singh Yadav,Bowler,"5,80,00,000",3
Piyush Chawla,Bowler,"4,20,00,000",3
Nitish Rana,All-Rounder,"3,40,00,000",3
Kamlesh Nagarkoti,All-Rounder,"3,20,00,000",3
Shivam Mavi,All-Rounder,"3,00,00,000",3
Mitchell Johnson,Bowler,"2,00,00,000",3
Shubman Gill,Batsman,"1,80,00,000",3
Ranganath Vinay Kumar,Bowler,"1,00,00,000",3
Rinku Singh,Batsman,"80,00,000",3
Cameron Delport,All-Rounder,"30,00,000",3
Javon Searless,All-Rounder,"30,00,000",3
Apoorv Vijay Wankhade,Batsman,"20,00,000",3
Ishank Jaggi,Batsman,"20,00,000",3
