PLAYER,TYPE,PRICE PAID,Team
Benjamin Stokes,All-Rounder,"12,50,00,000",5
Jaydev Unadkat,Bowler,"11,50,00,000",5
Sanju Samson,Wicket Keeper,"8,00,00,000",5
Jofra Archer,All-Rounder,"7,20,00,000",5
Krishnappa Gowtham,Bowler,"6,20,00,000",5
Jos Buttler,Wicket Keeper,"4,40,00,000",5
Ajinkya Rahane,Batsman,"4,00,00,000",5
Darcy Short,All-Rounder,"4,00,00,000",5
Rahul Tripathi,Batsman,"3,40,00,000",5
Dhawal Kulkarni,Bowler,"75,00,000",5
Zahir Khan Pakteen,Bowler,"60,00,000",5
Ben Laughlin,Bowler,"50,00,000",5
Stuart Binny,All-Rounder,"50,00,000",5
Dushmantha Chameera,Bowler,"50,00,000",5
Anureet Singh,Bowler,"30,00,000",5
Aryaman Vikram Birla,All-Rounder,"30,00,000",5
Midhun S,All-Rounder,"20,00,000",5
Shreyas Gopal,All-Rounder,"20,00,000",5
Prashant Chopra,Wicket Keeper,"20,00,000",5
Jatin Saxena,All-Rounder,"20,00,000",5
Ankit Sharma,All-Rounder,"20,00,000",5
Mahipal Lomror,All-Rounder,"20,00,000",5
