PLAYER,TYPE,PRICE PAID,Team
Krunal Pandya,All-Rounder,"8,80,00,000",4
Ishan Kishan,Wicket Keeper,"6,20,00,000",4
Kieron Pollard,All-Rounder,"5,40,00,000",4
Pat Cummins,Bowler,"5,40,00,000",4
Evin Lewis,Batsman,"3,80,00,000",4
Suryakumar Yadav,Batsman,"3,20,00,000",4
Ben Cutting,All-Rounder,"2,20,00,000",4
Mustafizur Rahman,Bowler,"2,20,00,000",4
Rahul Chahar,Bowler,"1,90,00,000",4
Pradeep Sangwan,Bowler,"1,50,00,000",4
Jason Behrendorff,Bowler,"1,50,00,000",4
Jean-Paul Duminy,All-Rounder,"1,00,00,000",4
Saurabh Tiwary,Batsman,"80,00,000",4
Tajinder Dhillon,All-Rounder,"55,00,000",4
Akila Dhananjaya,Bowler,"50,00,000",4
Nidheesh M D Dinesan,Bowler,"20,00,000",4
Aditya Tare,Wicket Keeper,"20,00,000",4
Siddhesh Dinesh Lad,Batsman,"20,00,000",4
Mayank Markande,Bowler,"20,00,000",4
Sharad Lumba,Batsman,"20,00,000",4
Anukul Roy,All-Rounder,"20,00,000",4
Mohsin Khan,Bowler,"20,00,000",4
