PLAYER,TYPE,PRICE PAID,Team
Kedar Jadhav,All-Rounder,"7,80,00,000",0
Dwayne Bravo,All-Rounder,"6,40,00,000",0
Karn Sharma,Bowler,"5,00,00,000",0
Shane Watson,All-Rounder,"4,00,00,000",0
Shardul Narendra Thakur,Bowler,"2,60,00,000",0
Ambati Rayudu,Wicket Keeper,"2,20,00,000",0
Murali Vijay,Batsman,"2,00,00,000",0
Harbhajan Singh,Bowler,"2,00,00,000",0
Faf Du Plessis,Batsman,"1,60,00,000",0
Mark Wood,Bowler,"1,50,00,000",0
Sam Billings,Wicket Keeper,"1,00,00,000",0
Imran Tahir,Bowler,"1,00,00,000",0
Deepak Chahar,All-Rounder,"80,00,000",0
Mitchell Santner,All-Rounder,"50,00,000",0
Lungisani Ngidi,Bowler,"50,00,000",0
Asif K M,Bowler,"40,00,000",0
N Jagadeesan,Wicket Keeper,"20,00,000",0
Kanishk Seth,All-Rounder,"20,00,000",0
Monu Singh,Bowler,"20,00,000",0
Dhruv Shorey,All-Rounder,"20,00,000",0
Kshitiz Sharma,All-Rounder,"20,00,000",0
Chaitanya Bishnoi,All-Rounder,"20,00,000",0
