PLAYER,TYPE,PRICE PAID,Team
Glenn Maxwell,All-Rounder,"9,00,00,000",1
Kagiso Rabada,Bowler,"4,20,00,000",1
Amit Mishra,Bowler,"4,00,00,000",1
Shahbaz Nadeem,Bowler,"3,20,00,000",1
Vijay Shankar,All-Rounder,"3,20,00,000",1
Rahul Tewatia,All-Rounder,"3,00,00,000",1
Mohammad Shami,Bowler,"3,00,00,000",1
Gautam Gambhir,Batsman,"2,80,00,000",1
Trent Boult,Bowler,"2,20,00,000",1
Colin Munro,All-Rounder,"1,90,00,000",1
Daniel Christian,All-Rounder,"1,50,00,000",1
Jason Roy,Batsman,"1,50,00,000",1
Naman Ojha,Wicket Keeper,"1,40,00,000",1
Prithvi Shaw,Batsman,"1,20,00,000",1
Gurkeerat Singh Mann,All-Rounder,"75,00,000",1
Avesh Khan,Bowler,"70,00,000",1
Abhishek Sharma,All-Rounder,"55,00,000",1
Jayant Yadav,All-Rounder,"50,00,000",1
Harshal Patel,All-Rounder,"20,00,000",1
Manjot Kalra,Batsman,"20,00,000",1
Sandeep Lamichhane,Bowler,"20,00,000",1
Sayan Ghosh,Bowler,"20,00,000",1
