PLAYER,TYPE,PRICE PAID,Team
Varun Chakaravarthy,All-Rounder,"8,40,00,000",2
Sam Curran,All-Rounder,"7,20,00,000",2
Mohammad Shami,Bowler,"4,80,00,000",2
Prabhsimran Singh,Wicket Keeper,"4,80,00,000",2
Nicolas Pooran,Wicket Keeper,"4,20,00,000",2
Moises Henriques,All-Rounder,"1,00,00,000",2
Hardus Viljoen,Bowler,"75,00,000",2
Darshan Nalkande,All-Rounder,"30,00,000",2
Sarfaraz Naushad Khan,All-Rounder,"25,00,000",2
Arshdeep Singh,Bowler,"20,00,000",2
Agnivesh Ayachi,All-Rounder,"20,00,000",2
Harpreet Brar,All-Rounder,"20,00,000",2
M. Ashwin,Bowler,"20,00,000",2
