PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
Sanvir Singh,Indian,All-Rounder,"20,00,000",9
Harry Brook,Overseas,Batter,"13,25,00,000",9
Heinrich Klaasen,Overseas,Wicket-Keeper,"5,25,00,000",9
Akeal Hosein,Overseas,Bowler,"1,00,00,000",9
Mayank Markande,Indian,Bowler,"50,00,000",9
Adil Rashid,Overseas,Bowler,"2,00,00,000",9
Anmolpreet Singh,Indian,Batter,"20,00,000",9
Vivrant Sharma,Indian,All-Rounder,"2,60,00,000",9
Samarth Vyas,Indian,All-Rounder,"20,00,000",9
Upendra Singh Yadav,Indian,Wicket-Keeper,"25,00,000",9
Nitish Kumar Reddy,Indian,Wicket-Keeper,"20,00,000",9
Mayank Agarwal,Indian,Batter,"8,25,00,000",9
Mayank Dagar,Indian,All-Rounder,"1,80,00,000",9
