PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
Jason Holder,Overseas,All-Rounder,"5,75,00,000",7
Adam Zampa,Overseas,Bowler,"1,50,00,000",7
Abdul P A,Indian,All-Rounder,"20,00,000",7
Akash Vashisht,Indian,All-Rounder,"20,00,000",7
Donovan Ferreira,Overseas,Wicket-Keeper,"50,00,000",7
Kunal Rathore,Indian,Wicket-Keeper,"20,00,000",7
Joe Root,Overseas,Batter,"1,00,00,000",7
Murugan Ashwin,Indian,Bowler,"20,00,000",7
K.M. Asif,Indian,Bowler,"30,00,000",7
