PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
Kulwant Khejroliya,Indian,Bowler,"20,00,000",3
Shakib Al Hasan,Overseas,All-Rounder,"1,50,00,000",3
Vaibhav Arora,Indian,Bowler,"60,00,000",3
N. Jagadeesan,Indian,Wicket-Keeper,"90,00,000",3
David Wiese,Overseas,All-Rounder,"1,00,00,000",3
Mandeep Singh,Indian,Batter,"50,00,000",3
Litton Das,Overseas,Wicket-Keeper,"50,00,000",3
Suyash Sharma,Indian,Bowler,"20,00,000",3
