PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
Phil Salt,Overseas,Wicket-Keeper,"2,00,00,000",1
Ishant Sharma,Indian,Bowler,"50,00,000",1
Rilee Rossouw,Overseas,Batter,"4,60,00,000",1
Manish Pandey,Indian,Batter,"2,40,00,000",1
Mukesh Kumar,Indian,Bowler,"5,50,00,000",1
