PLAYER,NATIONALITY,TYPE,PRICE PAID,Team
Amit Mishra,Indian,Bowler,"50,00,000",4
Nicholas Pooran,Overseas,Wicket-Keeper,"16,00,00,000",4
Romario Shepherd,Overseas,All-Rounder,"50,00,000",4
Daniel Sams,Overseas,All-Rounder,"75,00,000",4
Swapnil Singh,Indian,All-Rounder,"20,00,000",4
Yudhvir Charak,Indian,All-Rounder,"20,00,000",4
Prerak Mankad,Indian,All-Rounder,"20,00,000",4
Yash Thakur,Indian,Bowler,"45,00,000",4
Naveen Ul Haq,Overseas,Bowler,"50,00,000",4
Jaydev Unadkat,Indian,Bowler,"50,00,000",4
