PLAYER,TYPE,PRICE PAID,Team
Faf Du Plessis,Batsman,"4,75,00,000",0
Dwayne Smith,Batsman,"4,50,00,000",0
Brendon McCullum,Wicket Keeper,"3,25,00,000",0
Ashish Nehra,Bowler,"2,00,00,000",0
Mohit Sharma,Bowler,"2,00,00,000",0
Ishwar Chandra Pandey,Bowler,"1,50,00,000",0
Ben Hilfenhaus,Bowler,"1,00,00,000",0
John Hastings,All-Rounder,"50,00,000",0
Samuel Badree,Bowler,"30,00,000",0
Matt Henry,Bowler,"30,00,000",0
Mithun Manhas,All-Rounder,"30,00,000",0
Vijay Shankar,All-Rounder,"10,00,000",0
Ronit More,Bowler,"10,00,000",0
Baba Aparajith,Batsman,"10,00,000",0
Pawan Negi,Bowler,"10,00,000",0
