PLAYER,TYPE,PRICE PAID,Team
Mitchell Johnson,All-Rounder,"6,50,00,000",2
Glenn Maxwell,All-Rounder,"6,00,00,000",2
George Bailey,Batsman,"3,25,00,000",2
Virender Sehwag,Batsman,"3,20,00,000",2
Rishi Dhawan,All-Rounder,"3,00,00,000",2
Wriddhiman Saha,Wicket Keeper,"2,20,00,000",2
Shaun Marsh,Batsman,"2,20,00,000",2
Cheteshwar Pujara,Batsman,"1,90,00,000",2
Beuran Hendricks,Bowler,"1,80,00,000",2
Lakshmipathy Balaji,Bowler,"1,80,00,000",2
Thisara Perera,All-Rounder,"1,60,00,000",2
Gurkirat Singh Mann,Batsman,"1,30,00,000",2
Murali Kartik,Bowler,"1,00,00,000",2
Sandeep Sharma,Bowler,"85,00,000",2
Mandeep Hardev Singh,All-Rounder,"80,00,000",2
Akshar Rajesh Patel,All-Rounder,"75,00,000",2
Parvinder Awana,Bowler,"65,00,000",2
Shardul Narendra Thakur,Bowler,"20,00,000",2
Anureet Singh,Bowler,"20,00,000",2
Shivam Sharma,Bowler,"10,00,000",2
Karanveer Singh,All-Rounder,"10,00,000",2
