PLAYER,TYPE,PRICE PAID,Team
David Warner,Batsman,"5,50,00,000",7
Amit Mishra,Bowler,"4,75,00,000",7
Bhuvneshwar Kumar,Bowler,"4,25,00,000",7
Aaron Finch,Batsman,"4,00,00,000",7
Karn Sharma,Bowler,"3,75,00,000",7
Darren Sammy,All-Rounder,"3,50,00,000",7
Ishant Sharma,Bowler,"2,60,00,000",7
Irfan Pathan,All-Rounder,"2,40,00,000",7
Moises Henriques,All-Rounder,"1,00,00,000",7
KL Rahul,Batsman,"1,00,00,000",7
Parveez Rasool,All-Rounder,"95,00,000",7
Jason Holder,Bowler,"75,00,000",7
Venugopal Rao,Batsman,"55,00,000",7
Naman Ojha,Wicket Keeper,"50,00,000",7
Brendan Taylor,Wicket Keeper,"30,00,000",7
Prasanth Parameswaran,Bowler,"30,00,000",7
Amit Paunikar,Wicket Keeper,"20,00,000",7
Ashish Reddy,Bowler,"20,00,000",7
Srikkanth Anirudha,Batsman,"20,00,000",7
Ricky Bhui,Batsman,"10,00,000",7
Chama Milind,Bowler,"10,00,000",7
Manprit Juneja,Batsman,"10,00,000",7
