PLAYER,TYPE,PRICE PAID,Team
Michael Hussey,Batsman,"5,00,00,000",4
Corey Anderson,All-Rounder,"4,50,00,000",4
Pragyan Ojha,Bowler,"3,25,00,000",4
Zaheer Khan,Bowler,"2,60,00,000",4
Aditya Tare,Wicket Keeper,"1,60,00,000",4
Jasprit Bumrah,Bowler,"1,20,00,000",4
Jalaj Saxena,All-Rounder,"90,00,000",4
Josh Hazlewood,Bowler,"50,00,000",4
Marchant De Lange,Bowler,"30,00,000",4
Krismar Santokie,Bowler,"30,00,000",4
Ben Dunk,Wicket Keeper,"20,00,000",4
C.M. Gautam,Wicket Keeper,"20,00,000",4
Apoorv Vijay Wankhade,Batsman,"10,00,000",4
Pawan Suyal,Bowler,"10,00,000",4
Sushant Marathe,Wicket Keeper,"10,00,000",4
Shreyas Gopal,Bowler,"10,00,000",4
