PLAYER,TYPE,PRICE PAID,Team
Yuvraj Singh,All-Rounder,"14,00,00,000",6
Mitchell Starc,Bowler,"5,00,00,000",6
Albie Morkel,All-Rounder,"2,40,00,000",6
Varun Aaron,Bowler,"2,00,00,000",6
Ashok Dinda,Bowler,"1,50,00,000",6
Parthiv Patel,Wicket Keeper,"1,40,00,000",6
Muttiah Muralitharan,Bowler,"1,00,00,000",6
Ravi Rampaul,Bowler,"90,00,000",6
Nic Maddinson,Batsman,"50,00,000",6
Harshal Patel,Bowler,"40,00,000",6
Vijay Zol,Batsman,"30,00,000",6
Abu Nechim Ahmed,Bowler,"30,00,000",6
Sachin Rana,Bowler,"20,00,000",6
Shadab Jakati,Bowler,"20,00,000",6
Sandeep Warrier,Bowler,"10,00,000",6
Tanmay Mishra,Batsman,"10,00,000",6
Yogesh Takawale,Wicket Keeper,"10,00,000",6
Yuzvendra Singh Chahal,Bowler,"10,00,000",6
