PLAYER,TYPE,PRICE PAID,Team
Dinesh Karthik,Wicket Keeper,"12,50,00,000",1
Kevin Pietersen,Batsman,"9,00,00,000",1
Murali Vijay,Batsman,"5,00,00,000",1
Mohammad Shami,Bowler,"4,25,00,000",1
Nathan Coulter-Nile,Bowler,"4,25,00,000",1
Quinton De Kock,Wicket Keeper,"3,50,00,000",1
Manoj Tiwary,Batsman,"2,80,00,000",1
Jaydev Unadkat,Bowler,"2,80,00,000",1
Jean-Paul Duminy,Batsman,"2,20,00,000",1
Ross Taylor,Batsman,"2,00,00,000",1
Kedar Jadhav,Batsman,"2,00,00,000",1
Rahul Sharma,Bowler,"1,90,00,000",1
Mayank Agarwal,Batsman,"1,60,00,000",1
Laxmi Ratan Shukla,All-Rounder,"1,50,00,000",1
James Neesham,All-Rounder,"1,00,00,000",1
Wayne Parnell,Bowler,"1,00,00,000",1
Shahbaz Nadeem,Bowler,"85,00,000",1
Saurabh Tiwary,Batsman,"70,00,000",1
Siddarth Kaul,Bowler,"45,00,000",1
Rahul Shukla,Bowler,"40,00,000",1
Jayant Yadav,All-Rounder,"10,00,000",1
HS Sharath,Bowler,"10,00,000",1
Milind Kumar,Batsman,"10,00,000",1
