PLAYER,TYPE,PRICE PAID,Team
Steven Smith,All-Rounder,"4,00,00,000",5
Brad Hodge,Batsman,"2,40,00,000",5
Rajat Bhatia,All-Rounder,"1,70,00,000",5
Tim Southee,Bowler,"1,20,00,000",5
Dhawal Kulkarni,Bowler,"1,10,00,000",5
Abhishek Nayar,All-Rounder,"1,00,00,000",5
Kane Richardson,Bowler,"1,00,00,000",5
Ben Cutting,Bowler,"80,00,000",5
Karun Nair,Batsman,"75,00,000",5
Unmukt Chand,Batsman,"65,00,000",5
Iqbal Abdullah,All-Rounder,"65,00,000",5
Deepak Hooda,Bowler,"40,00,000",5
Dishant Yagnik,Wicket Keeper,"30,00,000",5
Kevon Cooper,All-Rounder,"30,00,000",5
Vikramjeet Malik,Bowler,"20,00,000",5
Ankit Nagendra Sharma,Bowler,"10,00,000",5
Rahul Tewatia,All-Rounder,"10,00,000",5
Ankush Bains,Wicket Keeper,"10,00,000",5
Amit Mishra,Bowler,"10,00,000",5
Pravin Tambe,Bowler,"10,00,000",5
